token1,token2,token3,token4,token5,target
998,1485,5,90,49,8
1485,5,90,49,8,308
5,90,49,8,308,225
90,49,8,308,225,210
49,8,308,225,210,180
8,308,225,210,180,42
308,225,210,180,42,513
225,210,180,42,513,6
210,180,42,513,6,112
180,42,513,6,112,16
42,513,6,112,16,26
513,6,112,16,26,42
6,112,16,26,42,742
112,16,26,42,742,439
16,26,42,742,439,743
26,42,742,439,743,20
42,742,439,743,20,67
742,439,743,20,67,171
439,743,20,67,171,26
743,20,67,171,26,42
20,67,171,26,42,1
67,171,26,42,1,151
171,26,42,1,151,81
26,42,1,151,81,590
42,1,151,81,590,744
1,151,81,590,744,6
151,81,590,744,6,32
81,590,744,6,32,745
590,744,6,32,745,12
744,6,32,745,12,125
6,32,745,12,125,258
32,745,12,125,258,144
745,12,125,258,144,591
12,125,258,144,591,181
125,258,144,591,181,26
258,144,591,181,26,73
144,591,181,26,73,44
591,181,26,73,44,999
181,26,73,44,999,25
26,73,44,999,25,440
73,44,999,25,440,746
44,999,25,440,746,71
999,25,440,746,71,49
25,440,746,71,49,7
440,746,71,49,7,1
746,71,49,7,1,1000
71,49,7,1,1000,8
49,7,1,1000,8,2
7,1,1000,8,2,1486
1,1000,8,2,1486,279
1000,8,2,1486,279,1001
8,2,1486,279,1001,113
2,1486,279,1001,113,99
1486,279,1001,113,99,441
279,1001,113,99,441,3
1001,113,99,441,3,7
113,99,441,3,7,2
99,441,3,7,2,280
441,3,7,2,280,1487
3,7,2,280,1487,152
7,2,280,1487,152,25
2,280,1487,152,25,592
280,1487,152,25,592,338
1487,152,25,592,338,593
152,25,592,338,593,514
25,592,338,593,514,3
592,338,593,514,3,145
338,593,514,3,145,41
593,514,3,145,41,2
514,3,145,41,2,67
3,145,41,2,67,157
145,41,2,67,157,515
41,2,67,157,515,90
2,67,157,515,90,49
67,157,515,90,49,7
157,515,90,49,7,442
515,90,49,7,442,5
90,49,7,442,5,1488
49,7,442,5,1488,5
7,442,5,1488,5,14
442,5,1488,5,14,516
5,1488,5,14,516,443
1488,5,14,516,443,1
5,14,516,443,1,381
14,516,443,1,381,1489
516,443,1,381,1489,8
443,1,381,1489,8,593
1,381,1489,8,593,113
381,1489,8,593,113,100
1489,8,593,113,100,12
8,593,113,100,12,67
593,113,100,12,67,1490
113,100,12,67,1490,18
